,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
0,1,Bitcoin,BTC,bitcoin,10540,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate']",21000000.0,19535843.0,19535843.0,False,,1,,,,2023-11-07T19:41:00.000Z,35454.93916618918,16137417819.87282,17.2921,0.66883521,1.20933856,2.74146448,27.09490567,37.13843462,20.30106047,692642125125.2227,51.7549,744553722489.97,,2023-11-07T19:41:00.000Z,,,,,,2023-11-07 22:42:10.340463
1,1027,Ethereum,ETH,ethereum,7730,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'injective-ecosystem', 'layer-1', 'ftx-bankruptcy-estate']",,120268344.75354697,120268344.75354697,True,,2,,,,2023-11-07T19:41:00.000Z,1897.8825762790825,9023342964.899952,7.1972,0.5719257,-0.05025543,4.83518801,16.01099036,16.22432798,2.65315399,228255195985.6826,17.0655,228255195985.68,,2023-11-07T19:41:00.000Z,,,,,,2023-11-07 22:42:10.340463
2,825,Tether USDt,USDT,tether,65227,2015-02-25T00:00:00.000Z,"['payments', 'stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,85739984994.63644,88623656723.6624,True,,3,,,,2023-11-07T19:40:00.000Z,1.0004962486161204,34957555292.15496,18.1667,0.02649215,0.01036881,0.02050171,0.00255337,0.09595482,0.11524685,85782533343.53622,6.4273,88667636090.67,,2023-11-07T19:40:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2023-11-07 22:42:10.340463
3,1839,BNB,BNB,bnb,1746,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain', 'layer-1', 'sec-security-token', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,151702548.5932675,151702548.5932675,False,,4,,,,2023-11-07T19:40:00.000Z,247.88298741309728,548301354.0250238,7.771,0.45958346,-1.9658373,9.72520822,17.05383559,15.69486519,1.90379231,37604480943.479706,2.8115,37604480943.48,,2023-11-07T19:40:00.000Z,,,,,,2023-11-07 22:42:10.340463
4,52,XRP,XRP,xrp,1136,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate']",100000000000.0,53615837759.0,99988316618.0,False,,5,,,,2023-11-07T19:41:00.000Z,0.689905508870249,2840352043.2092967,-12.2721,0.84546538,-3.2366984,15.00753825,33.00960306,36.59319818,4.62588262,36989861832.62761,2.7655,68990550887.02,,2023-11-07T19:41:00.000Z,,,,,,2023-11-07 22:42:10.340463
5,3408,USDC,USDC,usd-coin,14807,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'coinbase-ventures-portfolio', 'hedera-hashgraph-ecosystem', 'fantom-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,24306256503.607327,24306256503.607327,False,,6,,,,2023-11-07T19:41:00.000Z,1.0003221286985482,4017105418.280392,4.4244,0.02100034,0.0140126,0.02870144,0.02975987,0.02931393,0.03629857,24314086246.381413,1.8164,24314086246.38,,2023-11-07T19:41:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2023-11-07 22:42:10.340463
6,5426,Solana,SOL,solana,543,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okex-blockdream-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities', 'modular-blockchain']",,420901403.6704631,561946257.005053,True,,7,,,,2023-11-07T19:41:00.000Z,43.89403348009364,1687219807.7570412,86.8504,0.39206143,8.60798212,20.98053285,88.11965787,124.55123794,79.97191342,18475060304.529716,1.3834,24666087818.99,,2023-11-07T19:41:00.000Z,,,,,,2023-11-07 22:42:10.340463
7,2010,Cardano,ADA,cardano,962,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'sec-security-token', 'alleged-sec-securities']",45000000000.0,35258566740.144,36335222697.088,False,,8,,,,2023-11-07T19:40:00.000Z,0.3506830381038365,485271131.9220696,41.6353,0.48898366,-4.35437401,19.62994806,36.52824155,38.26114779,17.15183484,12364581303.620579,0.9264,15780736714.67,,2023-11-07T19:40:00.000Z,,,,,,2023-11-07 22:42:10.340463
8,74,Dogecoin,DOGE,dogecoin,821,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain', 'ftx-bankruptcy-estate']",,141735196383.70523,141735196383.70523,True,,9,,,,2023-11-07T19:41:00.000Z,0.07384248927058375,836315774.9673517,26.8819,0.44718502,-2.31893544,8.49093536,20.8760339,16.83641999,-1.51122923,10466079718.227835,0.7819,10466079718.23,,2023-11-07T19:41:00.000Z,,,,,,2023-11-07 22:42:10.340463
9,11419,Toncoin,TON,toncoin,169,2021-08-26T13:40:22.000Z,"['pos', 'ftx-bankruptcy-estate', 'dwf-labs-portfolio', 'toncoin-ecosystem']",,3431892087.62,5047558528.0,True,,10,3414166606.0,8636477860.655966,,2023-11-07T19:41:00.000Z,2.5296005899297245,67791906.79281928,263.3572,-0.24001213,6.49027594,13.88417387,21.9453007,39.058344,102.11608723,8681316249.418705,0.6491,12768307030.13,,2023-11-07T19:41:00.000Z,,,,,,2023-11-07 22:42:10.340463
10,1958,TRON,TRX,tron,862,2017-09-13T00:00:00.000Z,"['media', 'payments', 'tron-ecosystem', 'dwf-labs-portfolio', 'sec-security-token', 'alleged-sec-securities']",,88733100330.52757,88733158346.93979,True,,11,71659659264.0,6941433818.227133,,2023-11-07T19:40:00.000Z,0.09686668747131949,208102236.80302638,-4.4534,0.17993887,-0.78554777,0.16667592,9.77045559,22.71088229,26.75802014,8595281498.078451,0.6436,8595287117.94,,2023-11-07T19:40:00.000Z,,,,,,2023-11-07 22:42:10.340463
11,1975,Chainlink,LINK,chainlink,1409,2017-09-20T00:00:00.000Z,"['platform', 'defi', 'oracles', 'smart-contracts', 'substrate', 'polkadot', 'polkadot-ecosystem', 'avalanche-ecosystem', 'solana-ecosystem', 'framework-ventures-portfolio', 'polygon-ecosystem', 'fantom-ecosystem', 'cardano-ecosystem', 'web3', 'near-protocol-ecosystem', 'arbitrum-ecosytem', 'cardano', 'injective-ecosystem', 'optimism-ecosystem', 'real-world-assets', 'celsius-bankruptcy-estate']",1000000000.0,556849970.4527867,1000000000.0,False,,12,,,,2023-11-07T19:40:00.000Z,13.132089361430978,918052223.6765074,33.0722,0.56069176,3.451148,16.26706694,70.73238078,109.92570035,70.83613877,7312603572.896194,0.5479,13132089361.43,,2023-11-07T19:40:00.000Z,1027.0,Ethereum,ETH,ethereum,0x514910771af9ca656af840dff83e8264ecf986ca,2023-11-07 22:42:10.340463
